,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
269,Teahupoo,PF,-17.8333,-149.2667,78.76,79,18,17.9,light rain
270,Bouar,CF,5.934,15.596,65.64,98,85,3.51,overcast clouds
271,Vardo,NO,70.3705,31.1107,39.18,100,100,5.75,light rain
272,Morros,BR,-9.4467,-46.3003,78.03,53,54,0.56,broken clouds
273,Mogadishu,SO,2.0371,45.3438,81.48,83,19,13.85,few clouds
274,Pisco,PE,-13.7,-76.2167,67.01,82,0,6.91,clear sky
275,Saint Anthony,US,45.0205,-93.218,79.83,68,0,12.66,clear sky
276,Bandar-E Lengeh,IR,26.5579,54.8807,80.71,89,0,6.91,clear sky
277,Wagar,SD,16.1525,36.2032,86.7,16,0,17.96,clear sky
278,San Patricio,US,28.017,-97.5169,92.12,51,5,18.72,clear sky
279,Byron Bay,AU,-28.65,153.6167,67.71,75,100,14.5,light rain
280,Saldanha,ZA,-33.0117,17.9442,57.36,78,0,5.03,clear sky
281,Mago,RU,53.2514,140.1822,40.62,89,100,3.47,overcast clouds
282,Barsovo,RU,61.1667,73.1667,53.73,64,100,7.67,overcast clouds
283,Rio Cuarto,AR,-33.1307,-64.3499,67.77,45,0,12.66,clear sky
284,Grand-Santi,GF,4.25,-54.3833,77.56,96,33,3.02,heavy intensity rain
285,Komsomolskiy,UZ,40.4272,71.7189,63.32,77,90,4.61,overcast clouds
286,Wanning,CN,18.8003,110.3967,80.15,91,100,12.53,overcast clouds
287,Hambantota,LK,6.1241,81.1185,80.33,83,91,18.52,overcast clouds
288,San Quintin,MX,30.4833,-115.95,64.44,53,98,26.64,overcast clouds
289,Camacha,PT,33.0833,-16.3333,63.82,88,75,9.22,broken clouds
290,Dakar,SN,14.6937,-17.4441,76.08,88,19,13.82,few clouds
291,Nzega,RW,-2.479,29.5564,56.05,96,85,3.58,light rain
292,Ierapetra,GR,35.01,25.7353,64.15,60,65,4.0,broken clouds
293,Rorvik,NO,64.8621,11.2373,46.51,93,75,11.5,shower rain
294,Vagur,FO,61.4732,-6.8119,42.91,74,100,22.37,overcast clouds
295,Magadan,RU,59.5667,150.8,31.53,90,97,2.39,overcast clouds
296,Puerto Quijarro,BO,-17.7833,-57.7667,81.25,57,100,3.06,overcast clouds
297,Isangel,VU,-19.55,169.2667,76.12,63,100,20.74,overcast clouds
298,Yumen,CN,40.2833,97.2,56.73,21,100,8.75,overcast clouds
299,Egvekinot,RU,66.3167,-179.1667,29.21,98,100,5.06,overcast clouds
300,Hay River,CA,60.8156,-115.7999,39.18,60,20,8.05,few clouds
301,Dolores,AR,-36.3132,-57.6792,52.9,57,86,7.74,overcast clouds
302,College,US,64.8569,-147.8028,48.99,43,75,5.75,broken clouds
303,Baneh,IR,35.9975,45.8853,47.43,49,0,5.95,clear sky
304,Hofn,IS,64.2539,-15.2082,40.51,65,100,2.77,light rain
305,King City,US,36.2127,-121.126,66.92,26,1,12.95,clear sky
306,Katherine,AU,-14.4667,132.2667,77.32,69,75,9.22,broken clouds
307,Oga,IT,46.4631,10.347,56.08,99,88,2.04,overcast clouds
308,Doka,SD,13.5167,35.7667,94.6,12,30,14.47,scattered clouds
309,Quatre Cocos,MU,-20.2078,57.7625,75.31,79,16,5.82,few clouds
310,Chokurdakh,RU,70.6333,147.9167,16.09,90,100,11.88,overcast clouds
311,Southbridge,US,42.0751,-72.0334,76.64,55,13,7.0,few clouds
312,Prince Rupert,CA,54.3161,-130.3201,46.49,85,100,12.66,light rain
313,Yulara,AU,-25.2406,130.9889,46.24,53,84,6.91,broken clouds
314,Curvelo,BR,-18.7564,-44.4308,71.58,44,53,5.61,light rain
315,Guadalajara,MX,20.6667,-103.3333,93.97,20,20,4.61,few clouds
316,North Providence,US,41.8501,-71.4662,69.46,66,20,19.57,few clouds
317,Businga,CD,3.3333,20.8833,72.63,99,100,1.88,overcast clouds
318,Along,IN,28.1667,94.7667,69.21,95,96,1.12,overcast clouds
319,Scarborough,GB,54.2797,-0.4044,50.16,74,0,3.0,clear sky
320,Borogontsy,RU,62.6683,131.1683,33.96,81,71,2.17,broken clouds
321,Jumla,NP,29.2747,82.1838,57.9,91,83,0.4,broken clouds
322,Cortez,US,37.3489,-108.5859,78.03,12,0,17.27,clear sky
323,Comodoro Rivadavia,AR,-45.8667,-67.5,55.26,54,0,6.91,clear sky
324,Margate,GB,51.3813,1.3862,54.7,85,21,1.99,few clouds
325,Ancud,CL,-41.8697,-73.8203,49.01,89,100,13.96,light rain
326,Mandiana,GN,10.6333,-8.6833,88.45,34,8,5.73,clear sky
327,Tautira,PF,-17.7333,-149.15,80.91,79,20,17.29,light rain
328,Minot,US,48.2325,-101.2963,61.02,55,75,23.02,broken clouds
329,Pevek,RU,69.7008,170.3133,26.51,95,100,8.99,snow
330,Altay,CN,47.8667,88.1167,48.24,27,98,7.78,overcast clouds
331,Lac-Megantic,CA,45.5834,-70.8823,75.33,31,0,3.74,clear sky
332,Kardla,EE,58.9978,22.7492,49.05,71,100,13.0,overcast clouds
333,Padang,ID,-0.9492,100.3543,77.31,94,100,9.53,overcast clouds
334,Gogapur,IN,23.55,75.5167,91.94,14,1,5.61,clear sky
335,New Castle,US,41.0037,-80.347,83.48,20,0,5.75,clear sky
336,Hornepayne,CA,49.2138,-84.7705,79.75,13,56,4.88,broken clouds
337,Coquimbo,CL,-29.9533,-71.3436,58.73,82,75,8.05,broken clouds
338,Alice Springs,AU,-23.7,133.8833,38.75,81,21,5.75,few clouds
339,Palu,ID,-0.8917,119.8707,76.84,91,98,2.17,overcast clouds
340,Alexandria,EG,31.2156,29.9553,67.33,66,100,7.52,overcast clouds
341,Surt,LY,31.2089,16.5887,64.54,74,84,11.14,broken clouds
342,Myitkyina,MM,25.3833,97.4,71.94,99,99,0.87,overcast clouds
343,Te Anau,NZ,-45.4167,167.7167,43.09,90,57,0.96,broken clouds
344,Pedasi,PA,7.5333,-80.0333,82.06,72,100,4.54,overcast clouds
345,Asau,RO,46.4333,26.4,54.52,100,76,5.44,broken clouds
346,Port Hedland,AU,-20.3167,118.5667,62.65,59,96,4.61,overcast clouds
347,Denpasar,ID,-8.65,115.2167,80.26,94,40,2.3,scattered clouds
348,Ajdabiya,LY,30.7554,20.2263,68.04,53,99,13.94,light rain
349,Shihezi,CN,44.3,86.0333,60.93,62,41,4.07,scattered clouds
